Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,onTimeIN,onTimeOUT,Net Salary,Type_Full Day,Type_Half Day,apply_type_Anual,apply_type_Casual
347,6,Myrl Bechtelar MD,Mr.,Male,1,Married,24,1993-12-08,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Driver,1965,121.0,457.0,71041.13777777778,16.0,6.0,11.0,11.0
348,33,Francis Mraz,Mr.,Male,1,Married,24,1995-03-14,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Driver,1973,460.0,524.0,121408.26666666666,5.0,7.0,5.0,7.0
349,53,Mr Emmet Blick Jr,Mr.,Male,1,Married,23,1988-01-27,2021-06-28 00:00:00,Inactive,2021-06-28 00:00:00,\N,\N,Staff,Permanant,Buddhist,Account Clerk,1974,6.0,63.0,,,,,
351,77,Mr Nelson Braun PhD,Ms.,Female,4,Married,40,1999-10-01,2022-01-31 00:00:00,Inactive,2022-01-31 00:00:00,\N,\N,Staff,Permanant,Catholic,Purchasing Officer,1974,111.0,94.0,101560.20333333332,4.0,6.0,0.0,10.0
352,88,Maximillian Hand,Mr.,Male,1,Married,7,2001-01-26,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Store Keeper,1980,399.0,550.0,72789.2494117647,,,,
353,155,Zena Nicolas,Mr.,Male,1,Married,22,2003-09-29,2020-08-31 00:00:00,Inactive,2020-08-31 00:00:00,\N,\N,Staff,Permanant,Buddhist,Technical Officer,1962,,,,,,,
354,181,Coralie Bernhard,Mr.,Male,1,Married,22,2003-11-10,\N,Active,\N,945,\N,Staff,Permanant,Buddhist,Technical Officer,1969,478.0,565.0,138707.89176470588,,,,
355,192,Josh Roob,Mr.,Male,1,Married,126,2004-02-16,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Project Coordinator ,1981,556.0,628.0,370454.84,,,,
356,283,Ernest Upton,Ms.,Female,1,Single,23,2005-06-01,\N,Active,\N,\N,\N,Staff,Permanant,Buddhist,Account Clerk,1974,220.0,463.0,124019.62,6.0,6.0,0.0,12.0
359,529,Sydney Oberbrunner,Mr.,Male,1,Married,41,2006-07-01,2022-01-31 00:00:00,Inactive,2022-01-31 00:00:00,\N,\N,Staff,Permanant,Buddhist,Electrician,1967,261.0,228.0,69295.72,,,,
360,573,Angeline Yundt,Mr.,Male,1,Married,42,2006-08-29,2021-05-05 00:00:00,Inactive,2021-05-05 00:00:00,\N,\N,Management,Permanant,Buddhist,Transport Officer,1976,31.0,41.0,,,,,
361,596,Prof Karlie Bauch III,Mr.,Male,3,Single,7,2006-11-01,\N,Active,\N,\N,\N,Staff,Permanant,Hindu,Store Keeper,1986,436.0,527.0,126368.54588235296,,,,
363,691,Leonel Romaguera,Mr.,Male,1,Married,24,2007-05-25,2021-05-23 00:00:00,Inactive,2021-05-23 00:00:00,\N,\N,Staff,Permanant,Buddhist,Driver,1975,47.0,38.0,,,,,
365,759,Sidney Macejkovic,Mr.,Male,1,Married,43,2007-11-12,2020-09-10 00:00:00,Inactive,2020-09-10 00:00:00,\N,\N,Staff,Permanant,Buddhist,Operator - JCB,1984,,,,,,,
366,900,Prof Jerod Pfeffer,Mr.,Male,1,Married,44,2008-11-15,2020-05-21 00:00:00,Inactive,2020-05-21 00:00:00,\N,\N,Staff,Permanant,Buddhist,Driver - Boom,1973,,,,,,,
371,1084,Ignatius Volkman DDS,Ms.,Female,1,Single,45,2010-08-02,2021-04-30 00:00:00,Inactive,2021-04-30 00:00:00,\N,\N,Management,Contarct Basis,Buddhist,Construction Manager,1963,,,,,,,
372,1086,Doyle Hettinger,Mr.,Male,1,Married,46,2010-08-05,2020-09-27 00:00:00,Inactive,2020-09-27 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Operator - Crane,1981,,,,,,,
373,1093,Izaiah Berge,Mr.,Male,1,Married,35,2010-10-26,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,1990,431.0,445.0,113963.88388888889,15.0,6.0,14.0,7.0
376,1154,Prof Arden Jacobs III,Mr.,Male,1,Married,7,2011-03-24,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1961,515.0,584.0,120366.31388888888,5.0,0.0,0.0,5.0
377,1275,Shaylee Schroeder III,Mr.,Male,5,Single,48,2011-11-03,\N,Active,\N,624,\N,Staff,Contarct Basis,Muslim,Draughtsman,1982,445.0,515.0,116287.39,,,,
378,1290,Raymond Bogan,Mr.,Male,1,Married,33,2011-11-21,2020-07-28 00:00:00,Inactive,2020-07-28 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1965,,,,,,,
379,1329,Kayden Rice,Mr.,Male,1,Single,27,2012-01-25,2020-06-30 00:00:00,Inactive,2020-06-30 00:00:00,\N,\N,Staff,Contarct Basis,Buddhist,Supervisor,1991,,,,,,,
380,1336,Macey Simonis,Mr.,Male,1,Married,24,2012-01-29,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1978,561.0,599.0,71201.56111111112,,,,
381,1373,Jayde Witting,Mr.,Male,5,Married,22,2012-03-17,\N,Active,\N,624,\N,Staff,Contarct Basis,Muslim,Technical Officer,1982,352.0,413.0,153537.29823529412,,,,
383,1405,Sylvan Gislason,Mr.,Male,1,Married,24,2012-05-21,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Driver,1994,575.0,662.0,91635.6611764706,,,,
384,1425,Dr Kennedy Ryan MD,Mr.,Male,1,Married,8,2012-06-05,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1989,352.0,516.0,150063.88470588234,,,,
385,1472,Tillman Greenfelder,Mr.,Male,1,Married,49,2012-07-06,\N,Active,\N,\N,\N,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1986,323.0,461.0,128782.16588235291,,,,
